degreeAccronym|degreeName 
MPT|Master of Physical Therapy
MQM|Management and Quantitative Methods
MRCPE|Member of the Royal College of Physicians of Edinburgh
MRE|Masters of Real Estate
MRE|Modern Random English
MRES|Master of Research
MRP|Mostals Repair Plan
MS|Master of Science
MS|Management Systems
MS|Mathematical Sciences
MS|Multidisciplinary Studies
MS-CIT|Maharashtra State - Certificate in Information Technology
MSA|Master of Sports Administration
MSA|Master of Science in Administration
MSAcc|Masters of Science in Accounting
MSAE|Master of Science in Applied Economics
MSAG|Master of Science in Applied Geoscience
MSAP|Master of Science in Applied Physics
MSBA|Master of Science in Business Administration
MSBI|Master of Science in Biomedical Informatics
MSBS|Master of Science in Biomedical Sciences
MSC|Master in Strategic Communication
MSC|Master of Science
MSc GFIS|Masters of Science in Global Financial Information System
MSC IT|Master of Science in Information Technology
MSCD|Doctor of Metaphysical Science
MSCE|Master of Science in Civil Engineering
MSCE|Master of Science in Clinical Epidemiology
MSCF|Master of Science in Computational Finance
MSCG|Master of Science in Clinical Gerontology
MSCI|Master of Science in Clinical Investigation
MSci|Master of Science
MSCI|Military Science
MScIT|Master of Science in Information Technology
MSCJ|Master of Science in Criminal Justice
MSCM|Master of Supply Chain Management
MSCM|Master of Science in Conflict Management
MSCM|Manufacturning and Supply Chain Management
MSCM|Manufacturing and Supply Chain Management (BS)
MSCM|Master of Science in Contract management
MSCN|Master of SCience in Nursing
MSCN|Master of Science in Computer Networking
MSCP|Master of Science in Clinical Psychology
MSCP|Master of Science in Cybersecurity Policy
MSCP|Master of Science in Counseling Psychology
MSCP|Mathematics Specialist Certificate Program
MScPH|Master's of Public Health
MSCR|Master of Science in Clinical Research
MSCS|Master of Science in Computer Science
MSCT|Master of Science in Construction Technology
MSD|Master in Security and Defense
MSDEA|Master of Science in DEvelopment Administration
MSE|Materials Science And Engineering
MSE|Masters of Software Engineering
MSED|Master of Science in EDucation
MSEE|Masters in Science in Electrical Engineering
MSES|Master of Science in Environmental Studies
MSF|Manufacturing Science and Finance
MSF|Masters of Science in Finance
MSFE|Master of Science in Financial Economics
MSFF|Master of Science in Fraud and Forensics
MSFM|Master of Science in Facility Management
MSFS|Master of Science in Financial Services
MSHP|Master of Science in Historic Preservation
MSHR|Masters of Science in Human Resources
MSIB|Master of Science in International Business
MSIE|Master of Science in Internet Engineering
MSIE|Master of Science in Industrial Engineering
MSILR|Master of Science in Industrial and Labor Relations
MSIRE|Master of Science in International Real Estate
MSIS|Master of Science in Information Systems
MSISE|Master of Science in Industrial Systems Engineering
MSIT|Master of Science in Information Technology
MSJ|Master of Science in Journalism
MSL|Master in the Study of Law
MSL|Master of Studies in Law
MSLA|Master of Science in Legal Administration
MSLS|Master of Science in Library Science
MSM|Master of Science in Management
MSMC|Master of Science in Mass Communication
MSME|Master of Science in Mechanical Engineering
MSN|Master of Science in Nursing
MSN/HM|Master of Science in Nursing/Health Management
MSN/HM|Master of Science in Nursing/Hospitality Management
MSN/HN|Master of Science in Nursing/Holistic Nurse
MSNA|Master of Science in Nurse Anesthesia
MSNN|Master of Nanoscience and Nanotechnology
MSOD|Master of Science in Organization Development
MSOL|Master of Science Organizational Leadership
MSOLQ|Master of Science in Organizational Leadership and Quality
MSPAS|Master of Science in Physician Assistant Studies
MSPH|Master of Science in Public Health
MSPM|Master of Science in Project Management
MSRA|Master of Science in Regulatory Affairs
MSRE|Master of Science in Real Estate
MSSE|Master of Science in Software Engineering
MSSE|Master of Science in Science Education
MSSE|Master of Science in Systems Engineering
MSSF|Master of Science in Strategic Finance
MSSIS|Master of Science in Software and Information Systems
MSST|Master of Science in Security Technologies
MSST|Master of Spatial Science Technology
MST|Master of Science in Taxation
MST|Master of Science in Teaching
MSTD|Master of Science in Training and Development
MSTD|Master in Science in Training and Development
MSTL|Master of Science in Teaching and Learning
MSTM|Master of Science in Technology Management
MSW|Masters in Social Work
MSW|Master of Social Work
MSWA|Master of Social Work Association
MTI|Magister Teknologi Informasi
MTM|Master of Tropical Medicine
MTM|Medical Technology Management
MTM&H;|Master of Tropical Medicine and Hygiene
MTPW|Master Of Technical And Professional Writing
MTS|Master of Theological Studies
MUDR|Medicinae Universae Doctor
MUJ|MUsic Jazz studies
MUP|Master of Urban Planning
MURB|Master of Urbanism
MURP|Masters in Urban and Regional Planning
MVB|Medicina Veterinaria Baccalaureate
MVG|Microbial and Viral Genetics
MVPH|Master Of Veterinary Public Health
MVTA|Multiple Venture Technology Accredited
MW|Master of Wine
MWH|Modern World History
MWT|Modern Western Theology
N.D.|Doctor of Naturopathy
N.P.|Nurse Practitioner
NAOAA|National Association of Online Academic Assessors
NAPLAN|The National Assessment Program ? Literacy and Numeracy
NCCA|National Certification Career Association
NCE|Nigeria Certificate in Education
NCRT|Non-Certified Radiological Technician
NDDY|Diploma in Naturopathy & Yoga
NDM|Network Design and Management
NDM(MI)|National Diploma in Media (Moving Image)
NDO|Non Degree Option
NDP|Non-Degree Program
NEIHUSA|New Educare Institute of Healthcare
NET|National Eligibility Test
NET|National Entry test
NGT|Natural Gas Technology
NMD|Doctor of Naturopathy (Arizona)
NOMC|National Orientation and Mobility Certification
NOTCE|National Occupational Therapy Certification Examination (Canada)
NPB|Neurobiology, Physiology, and Behavior
NS|Natural Science
NSM|Natural Sciences and Mathematics
NSPS|National Society of Professional Surveyors
NTC|National Trade Certificate
NTC|National Technical Certificate
NVQ|National Vocation Qualification
NWRC|National Work Readiness Credential
O.D.|Doctor of Optometry
OCD|Ontario College Diploma
OCM|Oracle Certified Master
OD|Doctor of Optometry
OEB|Organismic and Evolutionary Biology
OHP|Occupational Health Psychology
OIC|Oral Interpersonal Communication
OLD|Opportunities for Learning and Development
OLS|Organizational Leadership And Supervision
OMD|Doctor of Oriental Medicine
ONC|Ordinary National Certificate
OND|Ordinary National Diploma
OSSD|Ontario Secondary School Diploma
OTR|Registered Occupational Therapist
OTS|Occupational and Technical Studies
Oxon.|Oxford (England) [Lat.]
P. ENG.|Professional Engineer
PA|Physiological Anthropology
PAG|Practical Arts General
PBBA|Professional Bachelor of Business Administration
PBC|Post Bachelor Certificate
PBZ|Physiological and Biochemical Zoology
PCE|Proficiency Certificate in English
PCTA|Proficiency Certificate for Teacher Assistants
PD|professional development
PDCAM|Post Diploma in Computer Aided Manufacturing
PDF|Postdoctoral Fellowship
PDS|Product Development Services
PE|Petroleum Engineering
PEB|Plant and Environmental Biotechnology
PEH|Physical Education and Health
PESS|Physical Education And Sport Sciences
PESS|Physical Education And Sport Science
PG|Physical Geography
PG|Plant Genetics
PG|Post-Graduate
PG|postgraduate
PG|-Post Graduate
PG-1|first postgraduate year
PG-2|second postgraduate year
PG-3|third postgraduate year
PG-4|fourth postgraduate year
PG1|first postgraduate year
PG2|second postgraduate year
PG3|third postgraduate year
PG4|fourth postgraduate year
PGD|Post-Graduate Diploma
PGDBA|Post Graduate Degree in Business Administration
PGDBF|Post Graduate Diploma in Banking and Finance
PGDBM|Post Graduate Diploma in Business Management
PGDCA|Post Graduate Diploma in Computer Application
PGDCP|Post Graduate Diploma in Computer Programming
PGDCP|Post Graduate Diploma in Clinical Psychology
PGDD|Post Graduate Diploma In Diabetology
PGDE|Post-Graduate Diploma in Education
PGDFOR.OD|PostGraduate Diploma in FORensic ODontology
PGDGA|Post Graduate in Digital Graphic Arts & Animations
PGDM|Post Graduate Diploma in Management
PGE|Petroleum Geosystems Engineering
Ph.B|Bachelor of Philosophy
Ph.D.|Doctor of Philosophy
Pharm. B.|Bachelor of Pharmacy
PHARM. D.|Doctor of Pharmacy
PharmD|Doctor of Pharmacy
PHD|Philosophiae Doctor
PhL|Licentiate in Philosophy
PHO|Photography
PHRE|Philosophy and Religion
PJO|Peace Journalism Option
PJS|Peace Justice Studies
PMAT|Pakistan Medical Aptitude Test
PMD|Doctor of Preventive Medicine
PMRC|Programming for Mobile and Remote Computers
PMST|Professional Master of Science and Technology
POBA|Peace Officer Basic Academy
Pod. B.|Bachelor or Podiatry
PQD|Prequential Quantum Dynamics
PRC|Professional Researcher Certification
PRH|Personality and Human Relations
PRMT|Penn Residency Master's in Teaching
PROF|Professor
PRS|President of the Royal Society
PSY|Psychology
Psy.D|Doctor of Psychology
Psy.D.|Doctor of Psychology
PsyD|Doctor of Psychology
PTE|Physical Teachers Education
PTPG|Part Time Post Graduation
PTRW|Particle Technology Research Western
PWE|Professional Writing and Editing
QC|Quantum Chemistry
QCF|Quantitative and Computational Finance
QET|Quality Engineering Technology
QFB|Quimico Farmaceutico Biologo
QM|Quantum Mechanics
QMM|Quality and Manufacturing Management
QMP|Quantitative Methodology Program
QP|Qualified Pharmacist
QQM|Qualitative and Quantitative Methods
QS|Quantitative Sciences
QSE|Qualitative Studies in Education
R&A;|Refrigerator & Air-conditioner
REAP|REAL ESTATE Advanced Program
RHM|Restaurant, Hotel, and Convention Management
RMCA|Rajasthan Master of Computer Application
RMT|Reiki Master Teacher
RN-C|Registered Nurse Certified
RNCS|Registered Nurse Clinical Specialist
RNU|Radiology- Nuclear Medicine
RPEQ|Registered Professional Engineer Queensland
RPh|Registered Pharmacist
RS|Religious Studies
RSE|Relationships and Sexuality Education
RSP|Resource Specialist Program
RSVP|Revised Standard Version Please
RVT|Registered Veterinarian Technologist
S-CAR|School for Conflict Analysis and Resolution
S.T.B.|Bachelor of Sacred Theology
SAC|Society And Culture
SALT|Speech And Language Therapy
SB|Bachelor of Science [Lat.]
SBA|School Based Assessment
SBB|Structural Biology and Biophysics
SBB|Specialist in Blood Banking
Sc.B|Bachelor of Science
SCCM|Stichting Coordinatie Certificatie Milieuzorgsystemen
ScD|Scientia Doctoris (Doctor of Science) [Lat.]
SCD|Second Cycle Degree
SCISA|South Carolina Independent School Association
SCS|Spanish Cultural Studies
SCT|Systems And Computer Technology
SD|Statistical Doctor
SD|Doctor of Spirituality
SDFM|Saudi Diploma in Family Medicine
SDS|Self Directed Search
SE|Software Engineering
SEH|Safety Environment And Health
SES|Slavic and Eurasian Studies
SET|Senior English Teacher
SFHM|Senior Fellow in Hospital Medicine
SHSM|Specialist High Skills Major(s)
SJD|Doctor of the Science of Law
SJD|Doctor of Laws
SLCD|Speech Language and Communication Disorders
SLT|Speech And Language Therapy
b'SMRO'|b'Scienti\x91 Magister in Rural Organization'
SOCIOL|Sociology
SpR|Specialist Registrar
SSC|Secondary School Certificate
SSLC|Secondary School Leaving Certificate
SSWK|Social Service Worker
STA|Statistics
STB|Bachelor of Sacred Theology
STD|Doctor of Sacred Theology
STD|Sacrae Theologiae Doctor
STEM|science, technology, engineering and mathematics
STL|Licentiate in Sacred Theology
STM|Master of Sacred Theology
SUPER|Service Unique President Executive And Relationship
SWO|Studies Of War Oppression
TAS|Technology And Applied Studies
TC|Technical Communication
TCIC|Technical Communication Industry Certificate
TCTC|Technical Communications Technical Certificate
TEAMS|Technology Education Administration And Management Systems
TEC|Technical Education Certificate
TFE|Textile Fiber Engineering
TGB|Team Green Blazer
Th.D.|Doctor of Theology
Th.P.D.|Doctor of Practical Theology
THD|Doctor of Theology
TLA|Tibetan Literature and Art
TMAC|Telecommunications Multimedia and Applied Computing
TMD|Theatre, Music, and Dance
TMT|Telecommunications Media And Technology
TNT|Telecommunications And Networking Technology
TNT|Thermo Nuclear Technology
TP|Transpersonal Psychology
TPAD|Technical Preparation/ Associate Degree
TRS|Theology and Religious Studies
TS|Telecommunication Science
UAT|Universal Agriculture And Trade
A.B.|Artium Baccalaureaus
A.M.T|Master of Arts in Teaching
A.Mus.A.|Associate in Music, Australia
A2|Advanced Level 2 (UK educational qualification)
AA|Associate of Arts
AA|Associate in Arts
AA DIP|Antillean Academy DIPloma
AA DIP|Architectural Association Diploma
AAA|Asian Art Appreciation
AAAS|African and African American Studies
AAD|Antillean Academy Diploma
AAFPRS|Fellow of the American Academy of Facial Plastic and Reconstructive Surgery
AAGS|Associate of Arts in General Studies
AAS|Associate of Applied Sciences
AAS|Associate in Applied Science
AASET|Associate of Applied Science in Electrical Technology
AAV|AQIS Accredited Vet
AB|Ars Bachelor
ABA|Associate in Business Administration
ABE|Agricultural Biological Engineering
ABE|Agricultural and Biological Engineering
Aberd.|Aberdeen (Aberdonensis) [Latin]
Aberd.|Aberdonensis (Aberdeen) [Lat.]
ABib|Associate of Bible
ABIM|American Board of Internal Medicine
ABS|Associate in Business Science
ABS|Associate in Business Studies
ABS|Associate in Baccalaureate Studies
ABS|Accelerated Bachelor of Science
ABT|All But Thesis
AC|Applied Communications
ACCP|Addictions Counseling Certificate Program
ACES|Agriculture, Consumer, and Environmental Sciences
ACID|Atomicity Consistency Isolation Durability
ACRL|Advanced Certificate in Rowing Leadership
ACSC|Alabama Controlled Substances Certificate
AD|Associate Degree
ADE|Associate Degree in Education
ADFD|Advance Diploma in Fashion Designing
ADN|Associate Degree in Nursing
ADP|Approved Degree Plan
ADSD|Advanced Diploma in Software Development
ADSE|Advanced Diploma of Software Engineering
AEJ|Associate for Education in Journalism
AFA|Associate in Fine Arts
AFCS|Applied Family and Child Studies
AFPC|Advanced Financial Planning Certificate
AFS|Africana Studies
AGDP|Accelerated Graduate Degree Programs
AGDP|Acquisition Graduate Degree Program
AGGP|Animation and Graphic Game Programming Degree
AHA|Art History and Architecture
AHA|Academics Highly Achieved
AHM|Assistant Headmaster
AHM|Assistant Headmistress
AISM|Associate of Indian School of Mines
AIT|Applied Information Technology
AJD|Accelerated Juris Doctorate
AJP|Accredited Jewelry Professional
AK|Applied Kinesiology
AKC|Associate of King's College
AM|Artium Magister (Master of Arts)
AMBA|Accelerated Masters in Business Administration
AMIE|Associate Member of Indian Engineers
AMO IN PAF|army medical officer 'REDUCTION IN-FORSE' ARM4CEMD
AMTC|Agency Management Training Certification
AMusD|Doctor of Musical Arts
AOA|alpha omega alpha
AOS|Associate in Occupational Studies
APA|Australian Postgraduate Award
APAV|Accreditation Program for Australian Veterinarians
APD|Accredited Practicing Dietitian (Australia)
APSM|Applied Physiology and Sport Management
ARCS|Associate(-ship) of the Royal College of Science
ARCT|Associate of the Royal Conservatory of Toronto
ARE|Academic Research and Engineering
ARTHIST|Art History
ARTSVIS|Visual Arts
AS|Associate of Science
AS|Advanced Subsidiary
ASE|Adult Secondary Education
ASES|Associate of Science in Engineering Science
ASET|Applied Science Engineering and Technology
ASN|Associate of Science in Nursing
AST|Associate in Specialized Technology
AST|Agricultural Systems Technology
ATCP|Agriculture, Trade, and Consumer Protection
ATD|Art Teaching Diploma
ATOL|Air Travel Orgainsers License
AU.D.|Doctor of Audiology
Aud. D.|Doctor of Audiology
AVCE|Advanced Vocational Certificate of Education
B Agr Sc|Bachelor of Agricultural Science
B. Ch. D.|Bachelor of Dental Surgery
B. Com|Bachelor of Commerce
B. D Sc.|Bachelor of Dental Science
B. D. M.|Bachelor of Dental Medicine
B. Dent. Sc.|Bachelor of Dental Science
B. LIB. STUD.|Bachelor of Library Studies
B. Optom.|Bachelor of Optometry
B. Pharm.|Bachelor of Pharmacy
B. Pod.|Bachelor of Podiatry
B.A.|Bachelor of Arts
B.A.M.|Bachelor of Applied Mathematics
B.Arch.|Bachelor of Architecture
B.B.A.|Bachelor of Business Administration
B.C.L.|Bachelor of Canon Law
B.Ch.D.|Bachelor of Dental Surgery
B.Ch.E|Bachelor of Chemical Engineering
B.CHIR.|Bachelopr of Surgery [Lat.]
B.D.M.|Bachelot of Dental Medicine
B.D.M.|Bachelor of Dental Medicine
B.D.S.|Bachelor of Dental Science
B.D.S.|Bachelor of Dental Surgery
B.D.Sc.|Bachelor of Dental Science
B.Dent.|Bachelor of Dentistry
B.Dent.S|Bachelor of Dental Surgery
B.Dent.S.|Bachelor of Dental Surgery
B.Dent.Sc.|Bachelor of Dental Science
B.E.|Bachelor of Engineering
B.Ec.|Bachelor of Economics
B.Ed|Bachelor of Education
B.J.|Bachelor Of Journalism
B.L.|Bachelor of Laws
B.L.I.S.|Bachelor of Library & Information Science
B.LI.S.|Bachelor Of Library Science
B.LIT.|Bachelor Of Literature Science
B.M.|Bachelor of Medicine
B.M.|Bachelor of Music
B.M.,B.S.|Bachelor of Medicine,Bachelor of Surgery
B.M.S.|Bachelor of Machine Science
B.M.S.|Bachelor of Marine Science
B.O.H.D.Sc.|Bachelor of Oral Health in Dental Science
B.OPT|Bachelor of Optometry
B.R.E.|Bachelor of Religious Education
B.S.BM.E.|Bachelor of Science in Biomedical Engineering
B.S.P.T.|Bachelor of Science in Physical Therapy
B.Sc.|Bachelor of Science
B.Sc.P.T.|Bachelor of Science in Physical Therapy
B.SOC.SCI|Bachelor of Social Science
B.TECH.|Bachelor of Technology
B.Th.|Bachelor of Theology
B.V.M.S.|Bachelor of Veterinary Medical Science
B.V.S.|Bachelor of Veterinary Science
B.V.Sc.|Bachelor of Veterinary Science
B.V.SC.&A.H.;|Bachelor of Veterinary Science and Animal Husbandry
BA|Business Administration
BA|Bachelor of Attendance
BA|Bachelor of Arts
BAAE|Bachelor of Aeronautical and Astronautical Engineering
BAAS|Bachelor of Applied Arts and Sciences
BACS|Bachelor of Administrative and Commercial Studies
BACY|Bachelor of Accountancy
BADS|Bachelor of Arts Development Studies
BAE|Bachelor of Architectural Engineering
BAEE|Bachelor of Arts in Elementary Education
BAILS|Bachelor of Arts In Liberal Studies
BAMS|Bachelor of Ayurvedic Medicine and Surgery
BAPSC|Bachelor of Applied Science (Engineering)
BAPW|Bachelor of Arts in Professional Writing
BARCH|Bachelor of Architecture
BASB|Bachelor of Accounting and Sustainable Business
BASLP|Bachelor Of Audio Speech Language Pathology
BAVI|Bachelor of Applied Visual Imaging
BBA|Bachelor of Business Administration
BBA|Bachelor of Business Administraion
BBAE|Bachelor of Business Administration and Engineering
BBE|Bachelor of Business Education
BBEF|Bachelor of Business Economics and Finance
BBI|Bachelor of Banking & Insurance
BBIS|Bachelor of Business Information Systems
BBL|Bachelor of Business Laws
BBM|Bachelor of Business Management
BBSc|Bachelor of Behavioural Science
BBus|Bachelor of Business
BCA|Bachelor of Computer Applications
BCBB|Bachelor of Commerce and Bachelor of Business double degree
BCCP|Business Continuity Certified Planner
BCD|Board Certified Diplomate in Clinical Social Work
BCE|Bachelor of Computer Engineering
BCE|Bachelor of Chemical Engineering
BCE|Bachelor of Civil Engineering
BCE|Bio-Chemical Engineering
BCIS|Bachelor of Computer Information Systems
BCIT|Bachelor in Computer sciences and Information Technology
BCL|Bachelor of Civil Law
BCMP|Biology, Chemistry, Math, And Physics
BCom|Bachelor of Commerce
BCOM|Bachelor of Communications
BCOMM|Bachelor of Commerce
BCS|Bachelor of Computer Science
BD|Bachelor's Degree
BDent|Bachelor of Dentistry
BDES|Bachelor of Design
BDiv|Bachelor of Divinity
BDM|Bachelor of Dental Medicine
BDM|Bachelor of Digital Media
BDMS|Bimap Diploma in Management Studies
BDS|Bachelor of Dental Surgery
BDSc|Bachelor of Dental Science
BE|Bachelor of Engineering
BEAT|Biomedical and Environmental Agriculture Technology
BEC|Business English Certificate
BED|Bachelor of Education
BEMA|Biomedical Engineering Materials And Applications
BENG|Bachelor of Engineering
BES|Bachelor Of Electronic Science
BES|Bachelors of Environmental Studies
BES|Bachelor of Environmental Science
BES|Bachelor of Environmental Studies
BFA|Bachelor of Fine Arts
BFor.Od.|Bachelor of Forensic Odontology
BFPSD|Business Financial Planning Specialist Diploma
BFSC|Bachelor of Forensic Science
BGS|Bachelor of General Studies
BHA|Bachelor of Hotel Administration
BHA|Bachelor in Health Administration
BHE|Blissborn Hypnosis Educator
BHK|Bachelor of Human Kinetics
BHL|Bachelor of Hebrew Literature
BHM|Bachelor of Hotel Management
BHMS|Bachelor of Medicine and Surgery
BHMS|Bachelor of Homeopathic Medicine and Surgery
BHND|Bachelor of Science in Human Nutrition and Dietetics
BHS|Bachelor in Health Science
BHS|Bachelor in/of Health Science(s)
BIB|Bachelor of International Business
BIBF|Bachelor of Intrenational Business and Finance
BID|Bachelor of Industrial Design
BIDP|Business Internship Diploma Program
BIOCHEM|Biochemistry
BIS|Bachelor of Information Sciences
BIS|Bachelors of Interdisiplinary Studies
BJ|Bachelor of Journalism
BJC|Bahamas Junior Certificate
BL|British Literature
BLA|Bachelor of Landscape Architecture
BLDG|Building Levels for Descent Guild
BLISc|Bachelor of Library and Information Science
BM|Bachelor Medicinae
BM|Bachelor of Music
BM BCh|Bachelor of Medicine & Bachelor of Surgery [Lat.]
BMATH|Bachelor of Mathematics
BMBS|Bachelor of Medicine & Bachelor of Surgery
BME|Biomedical Engineering
BME|Biomolecular Engineering
BME|Bachelor of Mechanical Engineering
BME|Bachelor of Music Education
BMed|Bachelor of Medicine
BMEDSC|Bachelor of Medical Science(s)
BMedSci|Bachelor of Medical Science(s)
BMET|Biomedical Engineering Technology
BMMC|Bachelor Multimedia Communication
BMOS|Bachelors of Management and Organizational Studies
BMS|Bachelor of Management Studies
BMS|Bachelor of Medical Sciences
BMUS|Bachelor of Music
BNAD|Bachelor of Nursing After Degree
BNBP|Bachelor of Nursing/Bachelor of Paramedicine
BNYS|Bachelor of Naturopathy and Yogic Science
BO|Bachelor of Osteopathy
BOccThy|Bachelor of Occupational Therapy
BOH|Bachelor of Oral Health
BOHDSc	|Bachelor of Health in Dental Science
BOHDSc|Bachelor of Health in Dental Science
BOSS|Bachelor Of Social Service
BP|Bachelor of Pharmacy
BPA|Bachelor of Performing Arts
BPBA|Bachelor Programme in Business Administration
BPE|Bachelor of Physical Education
BPED|Bachelor of Physical Education Degree
BPH|Bachelor of Public Health
BPHARM|Bachelor of Pharmacy
BPPE|Bachelor of Politics, Philosophy and Economics
BPPE|Bachelor of Power Plant Engineering
BPS|Bachelor Professional Studies
BPT|Bachelor of PhysioTherapy
BPT|Bachelor Education of Physio Therapy
BPTh|Bachelor of Physio Therapy
BS|Bachelor of Science
BS|Biomedical Sciences
BS|Business Studies
BSA|Bachelor of Science in Agriculture
BSA|Bachelor of Science in Accountancy
BSB|Bachelor of Science in Biology
BSB|Bachelor of Science in Business
BSBA|Bachelor of Science in Business Administration
BSBM|Bachelor of Science in Business Management
BSBS|Bachelor of Science in Business Strategy
BSC|Bachelor of SCience
BSC|Bachlor of Science
BSC(AGR)|Bachelor of Science in Agriculture
BScB|Bachelor of Science in Business
BSCD|Bachelor of Science Degree
BSCD|Bachelor of Science in Community Development
BSCE|Bachelor of Science in Computer Engineering
BSCF|Bachelor of Science in Computation Finance
BSCFD|Bachelor of Science in Fashion Design
BSCIS|Bachelor of Science in Computer Information Systems
BSCM|Bachelor of Science in Construction Management
BSCN|Bachelor of Science in Nursing
BSCS|Bachelor of Science in Computer Science
BSE|Bachelor of Science in Engineering
BSED|Bachelor of Science in Education
BSEE|Bachelor of Science in Electrical Engineering
BSEET|Bachelor of Science in Electrical Engineering Technology
BSESE|Bachelor of Science in Environmental and Sanitary Engineering
BSGS|Bachelor of Science in General Studies
BSHMP|Bachelor of Science in Healthcare Management and Policy
BSHS|Bachelor of Science in Human Services
BSHS|Bachelor of Science in Health Sciences
BSIT|Bachelor of Science in Information Technology
BSJ|Bachelor of Science in Journalism
BSLE|Bachelor of Science in Leadership Engineering
BSLM|Bachelor of Science in Legal Management
BSMC|Bachelor of Science in Mass Communication
BSME|Bachelor of Science in Mechanical Engineering
BSME|BS/Mechanical Engineering
BSME|Bachelor of Science Mechanical Engineering
BSMS|Bachelor of Siddha Medicine & Surgery
BSN|Bachelor of Science, Nursing
BSN|Bachelor of Science in Nursing
BSNA|Bachelor of Science in Nursing Administration
BSNE|Bachelor of Science in Network Engineering
BSNM|Bachelor of Science in Nuclear Medicine
BSOA|Bachelor of Science in Office Administration
BSPH|Bachelor of Science in Public Health
BSRT|Bachelor of Science in Radiologic Technology
BSSB|Broadcasting Satellite Service Band
BSSHM|Bachelor of Science in Sustainable Hospitality Management
BSTM|Bachelor of Science Technical Management
BSW|Bachelor of Social Work
BT|Bachelor of Technology
BTA|"Been to America"
BTAD|Bachelor of Technology in Applied Design
BTAE|Bachelor of Technology Aerospace Engineering
BTD|Bachelor in Textile Design
BTECH|Bachelor of Technology
BTED|Bachelor of Teacher Education
BTH|Bachelor in Theology
BTM|Business Technology Management
BTR|Bachelors of Therapeutic Recreation
BTS|Bachelor in Tourism Studies
BTS|Bachelors in Tourism Science
BTTE|Bachelor in Technical Teacher Education
BTTL|Bachelor of Technology (Trade and Technology Leadership)
BTTM|Bachelor in Tourism and Travel Management
BTTM|Bachelor of Travel and Tourism Management
BTTS|Bachelor of Travel and Tourism Studies
BUMS|Bachelor Of Unani Medicine And Surgery
BVetMed|Bachelor of Veterinary Medicine
BVMS|Bachelor of Veterinary Medicine and Surgery
BVS|Bachelor Of Veterinary Science
BVS|Bachelor of Veterinary Surgery
BVSc|Bachelor of Veterinary Science
BVScAH|Bachelor of Veterinary Science and Animal Husbandry
C.Ed.A.|Associate Degree in Christian Education
C.Ed.B.|Bachelor Degree in Christian Education
C.Ed.D.|Doctor of Christian Education
C.Ed.M.|Master of Christian Education
CAC|Certified Addiction Counselor
CACS|Certificate of Advanced Counseling Studies
CAGS|Certificate of Advanced Graduate Study
CAMM|Contracts And Materials Management
Cand. Odont.|Candidate of Odontology
Cand.Odont|Candidate in Odontology
Cantab.|Cantabrigiensis (of Cambridge [Latin].
CAPA|Creative And Performing Arts
CAS|Certificate of Advanced Studies
CBMA|Certified Business Model Analyst
CCC|Certificate of Clinical Competency
CCC|China Compulsory Certification
CCC|College Credit Certificate
CCE|Computer Communication Engineering
CCFP|Certificant of the College of Family Practice
CChem|Chartered Chemist
CCRA|Certified Credit Research Analyst
CCSP|Certified Customer Service Professional
CCST|Certified Control Systems Technician
CDET|College of Distance Education and Training
CE|Civil Engineering
CENG|Chemical Engineering
CEPS|Certified Electrophysiology (EP) Specialist
Cert SAO|Certificate of Small Animal Orthopaedics
CET|Computer Engineering Technology
CF|Conceptual Framework
CGEIT|Certified in the Governance of Enterprise IT
CHA|Certified Hotel Administrator
ChB|Bachelor of Surgery
CHE|Center for Higher Education
CHES|Certified Health Education Specialist
ChM|Master of Surgery
CHRP|Certified Human Resources Professional
CIA|Certified Internal Auditor
CIA|Canadian Institute of Actuaries
CILO|Course Intended Learning Outcome
CIM|Certificate of Initial Mastery
CIM|Comunicazione Interculturale e Multimediale
CIT|Certificate in Information Technology
CLEP|College Level Examination Program
Clin.Psy.D.|Doctor of Clinical Psychology
CLIP|Computational Linguistics And Information Processing
CLN|Community Learning Network
CLS|Chemical and Life Sciences
CM|Certificate of Merit
CMA|Communication and Media Arts
CMC|Communication Master's Curriculum
CMD|Club Management Diploma
CMFA|Certified Manager of Financial Advisors
CMG|Coastal and Marine Geology
CMJ|College Music Journalism
CMLT|Certificate in Medical Laboratory Technology
CMP|Certified Meeting Professional
CMPH|Career Master of Public Health
COBC|Certificate Of Basic Competence
COTC|Certificate Of Technical Competence
COTE|Certificate For Oversaes Teachers Of English
COTE|Certificate for Overseas Teachers of English
COURAGE|Changing Our Unacceptable Reasoning And Gratification Experiences
CPE|Common Professional Examination
CPM|Certification in Pharmaceutical Management
CPOP|Certificate Program for Otolaryngology Personnel
CRA|Certified risk analyst
CRCC|Canadian Rehabilitation Counselor Certification
CS|Classical Studies
CS|Computing Studies
CSB|CHirurgiae Baccalaureus (Bachelor of Christian Science)
CSBE|Certificate in Strengths-Based Education
CSCP|Certified Supply Chain Professional
CSCS|Construction Skills Certificate Scheme
CSE|Computer Science Engineering
CSEC|Caribbean Secondary Education Certificate
CSI|Criminal Science Investigation
CSM|Cyber Security and Management
CSOM|Computer Systems: Operations & Management
CSSE|Computer Science and Software Engineering
CT|Computer Technology
CTC|Certificate of Technical Competence
CTE|Computer and Telecommunications Engineering
CTLLS|Certificate in Teaching in the Lifelong Learning Sector
D|Diploma
D|Distinction
D|Drawing
D|Doctorate
D. P. T.|Doctor of Physical Therapy
